"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test"
"S:100-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ughpjsi0","C10-StateDim2","DAE","C10","2","1","1","100","3","2","0.22000426054000857"
"S:100-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","8p6ctq2h","C10-StateDim2","DAE","C10","3","1","1","100","3","2","0.2133549004793167"
"S:100-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","syqlfx06","C10-StateDim2","E-DAE","C10","0","1","1","100","3","2","0.14780360460281372"
"S:100-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","bepjcogx","C10-StateDim2","E-DAE","C10","1","1","1","100","3","2","0.1512531936168671"
"S:100-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","gmyytncc","C10-StateDim2","DAE","C10","1","1","1","100","3","2","0.21627044677734375"
"S:100-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","gw8gvqlg","C10-StateDim2","DAE","C10","0","1","1","100","3","2","0.2212361246347427"
"S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","jaqh6zoo","C10-StateDim2","E-DAE","C10","359","1","1","70","3","2","0.13314764201641083"
"S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","imydsxef","C10-StateDim2","E-DAE","C10","137","1","1","70","3","2","0.1328063607215881"
"S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","i7rnpja2","C10-StateDim2","E-DAE","C10","632","1","1","70","3","2","0.132600799202919"
"S:70-OS:3-H:2-G:C10-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","d0a52r69","C10-StateDim2","E-DAE","C10","298","1","1","70","3","2","0.1314234584569931"
"S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","bxh75rdc","C10-StateDim2","DAE","C10","118","1","1","70","3","2","0.19830693304538727"
"S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","nw0g1n8b","C10-StateDim2","DAE","C10","540","1","1","70","3","2","0.19440104067325592"
"S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","33k08xv0","C10-StateDim2","DAE","C10","562","1","1","70","3","2","0.19773676991462708"
"S:70-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","lw412iah","C10-StateDim2","DAE","C10","733","1","1","70","3","2","0.1997772753238678"
"S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","5ceal1s4","C10-StateDim2","DAE","C5","0","1","1","70","3","2","0.2345309406518936"
"S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","m47b5ooj","C10-StateDim2","DAE","C5","1","1","1","70","3","2","0.23538964986801147"
"S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","a79cxqgx","C10-StateDim2","DAE","C5","3","1","1","70","3","2","0.231148824095726"
"S:70-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","92nb6210","C10-StateDim2","DAE","C5","2","1","1","70","3","2","0.23369088768959043"
"S:70-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","s1j4lyey","C10-StateDim2","E-DAE","C5","1","1","1","70","3","2","0.1656046062707901"
"S:70-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","wj5rto5l","C10-StateDim2","E-DAE","C5","3","1","1","70","3","2","0.16208551824092865"
"S:70-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","879mysvo","C10-StateDim2","E-DAE","C5","2","1","1","70","3","2","0.16556358337402344"
"S:70-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","xp86a9dv","C10-StateDim2","E-DAE","C5","0","1","1","70","3","2","0.1663302630186081"
"S:50-OS:3-H:2-G:C5-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","yzg57mnk","C10-StateDim2","DAE","C5","3","1","1","50","3","2","0.15120208263397217"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","tc4ilp3a","C10-StateDim2","E-DAE","C5","3","1","1","50","3","2","0.115683451294899"
"S:30-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system.train_ratio=1.0","zssdc2um","C10-StateDim2","E-DAE","C5","3","1","1","30","3","2","0.09061853587627412"
