,real,imag,irrep,model.name,system.group,Name
50,0.9975625276565552,0.021041449159383774,"((1,), (0, 0), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
51,0.9975625276565552,-0.021041449159383774,"((1,), (0, 0), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
52,0.9982898831367493,0.0015764476265758276,"((1,), (0, 0), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
53,0.9982898831367493,-0.0015764476265758276,"((1,), (0, 0), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
54,0.7822539210319519,0.0,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
55,0.9714312553405762,0.16540096700191498,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
56,0.9714312553405762,-0.16540096700191498,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
57,0.84075528383255,0.11259312182664871,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
58,0.84075528383255,-0.11259312182664871,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
59,0.9955739974975586,0.09792088717222214,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
60,0.9955739974975586,-0.09792088717222214,"((1,), (1, 1), 0)",E-DAE,K4xC2,S:forward_minus_0_4-OS:3-G:K4xC2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah
