,time,state_pred_loss_t/test,model.name,system.group,Name
40,0.12,5.429043769836426,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
41,0.123,5.441262722015381,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
42,0.126,5.452367782592773,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
43,0.129,5.462353706359863,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
44,0.132,5.4714460372924805,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
45,0.135,5.4802350997924805,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
46,0.138,5.489346504211426,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
47,0.14100000000000001,5.499881267547607,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
48,0.14400000000000002,5.5123209953308105,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
49,0.147,5.526726245880127,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
50,0.15,5.543336868286133,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
51,0.153,5.562004566192627,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
52,0.156,5.582150459289551,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
53,0.159,5.601978302001953,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
54,0.162,5.619652271270752,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
55,0.165,5.63253927230835,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
56,0.168,5.637158393859863,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
57,0.171,5.631558895111084,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
58,0.17400000000000002,5.616065979003906,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
59,0.177,5.591306686401367,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
60,0.18,5.560513973236084,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
61,0.183,5.53019380569458,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
62,0.186,5.505557537078857,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
63,0.189,5.4873857498168945,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
64,0.192,5.471349716186523,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
65,0.195,5.450838088989258,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
66,0.198,5.423262119293213,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
67,0.201,5.389378070831299,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
68,0.20400000000000001,5.351078987121582,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
69,0.20700000000000002,5.311285018920898,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
70,0.21,5.272336959838867,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
71,0.213,5.235006809234619,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
72,0.216,5.19893741607666,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
73,0.219,5.16329288482666,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
74,0.222,5.128383159637451,E-DAE,C2,S:forward_minus_0_4-OS:3-G:C2-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.max_epochs=500 system.terrain=uneven_easy system=mini_cheetah-c2
