"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test","time","state_pred_loss_t/test"
"S:50-OS:3-H:2-G:C10-N:8_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","n4h4hmte","NoiseSensitivity2","DAE","C10","2","1","1","50","3","8","0.7960377335548401","4.918085199563623","1.272058129310608"
"S:50-OS:3-H:2-G:C10-N:6_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ml5bmik0","NoiseSensitivity2","DAE","C10","3","1","1","50","3","6","0.6089538335800171","4.918085199563623","0.9731326699256896"
"S:50-OS:3-H:2-G:C10-N:0_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","wd7gyd9f","NoiseSensitivity2","DAE","C10","0","1","1","50","3","0","0.05650957673788071","4.918085199563623","0.07756415754556656"
"S:50-OS:3-H:2-G:C10-N:6_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","qnusb6jc","NoiseSensitivity2","DAE","C10","2","1","1","50","3","6","0.6067118048667908","4.918085199563623","0.9311333894729614"
"S:50-OS:3-H:2-G:C10-N:0_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","qsawcffp","NoiseSensitivity2","DAE","C10","3","1","1","50","3","0","0.054991595447063446","4.918085199563623","0.07506576925516129"
"S:50-OS:3-H:2-G:C5-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","zuiz7smr","NoiseSensitivity2","E-DAE","C5","3","1","1","50","3","6","0.5277720093727112","5.082603387667447","0.7742431163787842"
"S:50-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","0tmpaen1","NoiseSensitivity2","DAE","C10","2","1","1","50","3","2","0.23730739951133728","4.918085199563623","0.3748104274272918"
"S:50-OS:3-H:2-G:C5-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","y904k36x","NoiseSensitivity2","E-DAE","C5","2","1","1","50","3","8","0.6917830109596252","5.082603387667447","1.0229101181030271"
"S:50-OS:3-H:2-G:C10-N:2_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","c2zabzrr","NoiseSensitivity2","DAE","C10","0","1","1","50","3","2","0.23989108204841617","4.918085199563623","0.3820533752441406"
"S:50-OS:3-H:2-G:C10-N:0_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","no57et8p","NoiseSensitivity2","DAE","C10","2","1","1","50","3","0","0.056052472442388535","4.918085199563623","0.07890432327985764"
